entropy,line_count,saturation_mean,saturation_quartile_3,red_mean,hue_bin_0,saturation_median,local_contrast_3x3_std,saturation_quartile_1,hue_bin_3,label,path
215169.16003508397,2602.0,99.52185567220052,153.0,127.02901713053386,0.2827538384331597,77.0,38.0112583367492,55.0,0.0477973090277777,AI,data/AI_SD_ukiyo-e/9-879597690-276757.jpg
254019.63653197017,2345.0,110.37198215060764,135.0,111.75052049424912,0.202545166015625,102.0,28.196543781896224,70.0,0.1074574788411458,AI,data/AI_SD_ukiyo-e/9-885983000-887773.jpg
196690.20588699824,2914.0,113.02012125651042,167.0,148.81946309407553,0.3570014105902778,101.0,48.0379601765392,56.0,0.1174231635199652,AI,data/AI_SD_ukiyo-e/9-856288343-155345.jpg
256181.8592988891,1365.0,102.94362894694012,142.0,117.53788418240018,0.2403225368923611,99.0,38.51829864594453,67.0,0.1103312174479166,AI,data/AI_SD_ukiyo-e/9-856832978-807082.jpg
235513.3395635891,1920.0,110.748780992296,156.0,140.98846944173178,0.3529476589626736,99.0,37.92367433058016,72.0,0.0186377631293402,AI,data/AI_SD_ukiyo-e/9-966718122-538856.jpg
251671.220150026,2533.0,124.73243713378906,183.0,136.56951734754773,0.5041249593098959,107.0,23.5756532133317,78.0,0.0261111789279513,AI,data/AI_SD_ukiyo-e/9-918166643-367914.jpg
254702.0027624,2595.0,113.57132975260416,169.0,125.675779554579,0.2747650146484375,103.0,33.66208360653941,67.0,0.1324055989583333,AI,data/AI_SD_ukiyo-e/9-986424499-168891.jpg
238906.61650858275,3415.0,108.8217061360677,120.0,133.24552239312067,0.4686279296875,103.0,46.55359191055557,92.0,0.2114376491970486,AI,data/AI_SD_ukiyo-e/9-890445906-515159.jpg
266782.2960628342,2885.0,101.1217803955078,116.0,99.58922661675348,0.2808108859592014,94.0,32.771011148317804,76.0,0.0598992241753472,AI,data/AI_SD_ukiyo-e/9-998834727-514002.jpg
239490.47056808136,1113.0,87.8134273952908,129.0,130.55242411295572,0.0673862033420139,71.0,32.358481730837546,53.0,0.0154605441623263,AI,data/AI_SD_ukiyo-e/9-950176720-323106.jpg
273663.1440403717,1210.0,91.86158243815105,120.0,130.79403177897134,0.3730010986328125,85.0,29.221472526957008,61.0,0.5073920355902778,AI,data/AI_SD_ukiyo-e/9-89114128-741374.jpg
239758.97279033452,2691.0,119.69420878092448,175.0,121.52855767144098,0.2007802327473958,120.0,30.71223938963445,67.0,0.0556962754991319,AI,data/AI_SD_ukiyo-e/9-865746110-589331.jpg
242318.51865703208,2944.0,93.6832970513238,118.0,134.16519673665366,0.4491034613715278,103.0,36.27423564700207,53.0,0.2133806016710069,AI,data/AI_SD_ukiyo-e/9-893814666-214811.jpg
244602.65397072895,1836.0,97.48622639973958,137.0,144.85511440700955,0.2959611680772569,79.0,38.00477997564714,58.0,0.0201585557725694,AI,data/AI_SD_ukiyo-e/9-934092758-114526.jpg
259829.35844043063,2845.0,131.25442504882812,165.0,117.72860548231336,0.5364108615451388,129.0,26.393600899351625,93.0,0.0779181586371527,AI,data/AI_SD_ukiyo-e/9-927138457-346384.jpg
265252.2330033983,2248.0,83.03099399142795,98.0,124.90823194715712,0.3458133273654514,82.0,45.09792515543491,63.0,0.04595947265625,AI,data/AI_SD_ukiyo-e/9-855655329-715809.jpg
268891.9717176203,3052.0,110.123538547092,122.0,127.44014485677084,0.4317830403645833,100.0,36.73829187747537,79.0,0.3028700086805556,AI,data/AI_SD_ukiyo-e/9-963604845-471107.jpg
234812.9313706044,3944.0,118.9542236328125,163.0,133.04124620225696,0.3253682454427083,101.0,31.096591653026756,80.0,0.0638665093315972,AI,data/AI_SD_ukiyo-e/9-87090125-385061.jpg
243793.87457969435,2615.0,116.48428683810764,201.0,111.397218492296,0.1017405192057291,88.0,35.041099513632645,51.0,0.0488332112630208,AI,data/AI_SD_ukiyo-e/9-89114128-914988.jpg
251750.5070221232,3093.0,76.10420227050781,105.0,120.21649339463976,0.3511895073784722,63.0,30.787799808272524,43.0,0.2854546440972222,AI,data/AI_SD_ukiyo-e/9-917378555-40194.jpg
252789.82283723744,2364.0,119.39078436957465,159.0,124.14341396755644,0.4140625,116.0,34.60602309970241,80.0,0.1140950520833333,AI,data/AI_SD_ukiyo-e/9-933262927-707673.jpg
266085.93675445946,3126.0,84.13593037923177,90.0,119.533450656467,0.3310309516059028,80.0,27.518857760688384,69.0,0.1864980061848958,AI,data/AI_SD_ukiyo-e/9-825904810-456085.jpg
283501.357802981,2661.0,100.78058030870226,154.0,135.03560045030383,0.4697045220269097,71.0,35.862457008455614,61.0,0.3499060736762153,AI,data/AI_SD_ukiyo-e/9-8644963-649129.jpg
242945.28109211964,2846.0,87.12752787272136,102.0,117.80677964952255,0.2102067735460069,81.0,33.56262928231077,58.0,0.093170166015625,AI,data/AI_SD_ukiyo-e/9-827046418-506851.jpg
243096.39827471596,3224.0,107.8506571451823,143.0,126.9376458062066,0.3228776719835069,114.0,35.62208865825065,63.0,0.1246303982204861,AI,data/AI_SD_ukiyo-e/9-892143941-893884.jpg
242085.6301160196,2227.0,125.23450046115452,191.0,134.07077365451389,0.5274827745225694,108.0,39.53543261350422,74.0,0.2248450385199653,AI,data/AI_SD_ukiyo-e/9-988268015-372708.jpg
270188.5286039447,2079.0,109.73236253526476,135.0,133.4525892469618,0.3712378607855903,122.0,22.440306602126125,79.0,0.1831597222222222,AI,data/AI_SD_ukiyo-e/9-912323737-857669.jpg
245919.8058513825,3368.0,93.05250549316406,115.0,123.58098008897568,0.2924991183810764,90.0,26.096146918363583,65.0,0.4356486002604167,AI,data/AI_SD_ukiyo-e/9-88855174-972348.jpg
255838.25395458852,2131.0,98.2853478325738,114.0,124.35043165418836,0.21728515625,78.0,31.56711399966023,62.0,0.1396569146050347,AI,data/AI_SD_ukiyo-e/9-863622018-580643.jpg
